timestamp,broker,account,strategy,order_id,symbol,spread,fill_time_ms,reject_reason,latency_ms,slippage_pips,margin_used
2026-08-22T11:12:20.604750+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0000,XAUUSD,0.15,50,INSUFFICIENT_MARGIN,10,0.0,52.23
2026-08-22T11:12:20.604776+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0001,XAUUSD,0.16,55,,11,0.1,51.73
2026-08-22T11:12:20.604781+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0002,XAUUSD,0.17,60,,12,0.2,51.23
2026-08-22T11:12:20.604785+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0003,XAUUSD,0.18,65,,13,0.3,50.73
2026-08-22T11:12:20.604788+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0004,XAUUSD,0.19,70,,14,0.4,50.23
2026-08-22T11:12:20.604792+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0005,XAUUSD,0.2,75,,15,0.5,49.73
2026-08-22T11:12:20.604795+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0006,XAUUSD,0.21,80,,16,0.6,49.23
2026-08-22T11:12:20.604798+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0007,XAUUSD,0.22,85,,17,0.7,48.73
2026-08-22T11:12:20.604842+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0008,XAUUSD,0.23,90,,18,0.8,48.23
2026-08-22T11:12:20.604845+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0009,XAUUSD,0.24,95,,19,0.9,47.73
2026-08-22T11:12:20.604848+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0010,XAUUSD,0.25,100,,20,1.0,52.23
2026-08-22T11:12:20.604852+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0011,XAUUSD,0.26,105,,21,1.1,51.73
2026-08-22T11:12:20.604855+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0012,XAUUSD,0.27,110,,22,1.2,51.23
2026-08-22T11:12:20.604859+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0013,XAUUSD,0.28,115,,23,1.3,50.73
2026-08-22T11:12:20.604862+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0014,XAUUSD,0.29,120,,24,1.4,50.23
2026-08-22T11:12:20.604865+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0015,XAUUSD,0.3,125,,25,1.5,49.73
2026-08-22T11:12:20.604868+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0016,XAUUSD,0.31,130,,26,1.6,49.23
2026-08-22T11:12:20.604872+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0017,XAUUSD,0.32,135,,27,1.7,48.73
2026-08-22T11:12:20.604875+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0018,XAUUSD,0.33,140,,28,1.8,48.23
2026-08-22T11:12:20.604878+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0019,XAUUSD,0.34,145,,29,1.9,47.73
2026-08-22T11:12:20.604880+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0020,XAUUSD,0.35,150,,30,0.0,52.23
2026-08-22T11:12:20.604883+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0021,XAUUSD,0.36,155,,31,0.1,51.73
2026-08-22T11:12:20.604886+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0022,XAUUSD,0.37,160,,32,0.2,51.23
2026-08-22T11:12:20.604890+00:00,oanda,PAPER,STANDARD_SCALPING,ORD-0-0023,XAUUSD,0.38,165,,33,0.3,50.73
